task,scorer,fit_on,test,auc,ci_lo,ci_hi,n_pos,n_neg
T2_frozen_specificity,phase|gbm,TW:Iran,TW:IRA,0.8162,0.7803,0.8493,148,875
T2_frozen_specificity,phase|gbm,TW:Iran,TW:Venezuela,0.9337,0.9065,0.9561,148,223
T2_frozen_specificity,phase|gbm,TW:Iran,TW:China,0.8317,0.7941,0.8639,148,1030
T2_frozen_specificity,phase|gbm,TW:Iran,TW:GRU,0.6176,0.4857,0.734,148,30
T2_frozen_specificity,phase|gbm,TW:Venezuela,TW:IRA,0.8626,0.8308,0.8928,223,875
T2_frozen_specificity,phase|gbm,TW:Venezuela,TW:Iran,0.9471,0.9213,0.9671,223,148
T2_frozen_specificity,phase|gbm,TW:Venezuela,TW:China,0.831,0.8002,0.8625,223,1030
T2_frozen_specificity,phase|gbm,TW:Venezuela,TW:GRU,0.9701,0.9499,0.9864,223,30
T2_frozen_specificity,phase|gbm,TW:China,TW:IRA,0.8974,0.8803,0.9136,1030,875
T2_frozen_specificity,phase|gbm,TW:China,TW:Iran,0.8793,0.8581,0.9005,1030,148
T2_frozen_specificity,phase|gbm,TW:China,TW:Venezuela,0.9558,0.9457,0.9651,1030,223
T2_frozen_specificity,phase|gbm,TW:China,TW:GRU,0.8204,0.7642,0.871,1030,30
T2_frozen_specificity,phase_sched|lr,TW:IRA,TW:Iran,0.6233,0.5763,0.6672,875,148
T2_frozen_specificity,phase_sched|lr,TW:IRA,TW:Venezuela,0.7342,0.6953,0.7766,875,223
T2_frozen_specificity,phase_sched|lr,TW:IRA,TW:China,0.5497,0.5249,0.5791,875,1030
T2_frozen_specificity,phase_sched|lr,TW:IRA,TW:GRU,0.3661,0.2443,0.4974,875,30
T2_frozen_specificity,phase_sched|lr,TW:Iran,TW:IRA,0.7224,0.6842,0.7633,148,875
T2_frozen_specificity,phase_sched|lr,TW:Iran,TW:Venezuela,0.8557,0.8197,0.8897,148,223
T2_frozen_specificity,phase_sched|lr,TW:Iran,TW:China,0.7072,0.6759,0.7354,148,1030
T2_frozen_specificity,phase_sched|lr,TW:Iran,TW:GRU,0.4619,0.337,0.5927,148,30
